message,label,type
Sumisigaw ng tulong sa kanto please,urgent,medical emergency
Maruming paligid sa barangay please,non-urgent,waste
Loud vehicles passing midnight kaagad,non-urgent,noise
May nahimatay sa kalsada agad,urgent,medical emergency
Need ambulance urgently,urgent,medical emergency
May butas sa kalsada now,non-urgent,infrastructure
Injury accident at intersection po,urgent,medical emergency
Littering near playground po,non-urgent,waste
May apoy sa gilid ng kalsada.,urgent,fire emergency
May party na sobrang ingay agad,non-urgent,noise
"Car accident, please send help please",urgent,medical emergency
Trash scattered after fiesta kaagad,non-urgent,waste
Fire alarm activated at office please,urgent,fire emergency
Burning smell in the neighborhood po,urgent,fire emergency
Broken road near bridge naman,non-urgent,infrastructure
Maruming paligid sa barangay pls,non-urgent,waste
Smoke seen from the warehouse now,urgent,fire emergency
Barking dogs all night urgently,non-urgent,noise
Nagsasagutan at nag-aaway sa plaza kaagad,urgent,fights
Sira ang drainage sa gilid ng daan now,non-urgent,infrastructure
May sirang poste sa labas ng barangay please,non-urgent,infrastructure
Ambulance required at city hall po,urgent,medical emergency
Person bleeding heavily please,urgent,medical emergency
Loud construction early morning po,non-urgent,noise
Fight reported at the gym,urgent,fights
May rambol sa eskinita pls,urgent,fights
Overflowing trash bins,non-urgent,waste
Streetlight not working agad,non-urgent,infrastructure
Trash scattered after fiesta.,non-urgent,waste
Broken road near bridge po,non-urgent,infrastructure
Bad smell from uncollected garbage kaagad,non-urgent,waste
Two men fighting near school,urgent,fights
Maingay ang kapitbahay.,non-urgent,noise
May sugatang tao sa park po,urgent,medical emergency
Person bleeding heavily kaagad,urgent,medical emergency
Flames visible near gasoline station naman,urgent,fire emergency
Sira ang drainage sa gilid ng daan kaagad,non-urgent,infrastructure
Maruming paligid sa barangay kaagad,non-urgent,waste
May gulo sa barangay hall kaagad,urgent,fights
Basura nakakalat sa kanto.,non-urgent,waste
"Car accident, please send help urgently",urgent,medical emergency
Loud vehicles passing midnight po,non-urgent,noise
Need ambulance urgently po,urgent,medical emergency
Loud music at night!,non-urgent,noise
May rambol sa eskinita!,urgent,fights
May rambol sa eskinita kaagad,urgent,fights
Heart attack alert.,urgent,medical emergency
Ambulance required at city hall naman,urgent,medical emergency
Nasusunog ang bahay sa barangay!,urgent,fire emergency
Two men fighting near school pls,urgent,fights
Too much noise from karaoke!,non-urgent,noise
Basura nakakalat sa kanto now,non-urgent,waste
Fire alarm activated at office po,urgent,fire emergency
Barking dogs all night agad,non-urgent,noise
Malaking usok sa likod ng simbahan!,urgent,fire emergency
Hindi pa kinukuha ang basura naman,non-urgent,waste
Loud construction early morning please,non-urgent,noise
People fighting outside store kaagad,urgent,fights
People fighting outside store agad,urgent,fights
Nagsisigawan sa kanto now,non-urgent,noise
Loud vehicles passing midnight.,non-urgent,noise
Basura sa harap ng bahay naman,non-urgent,waste
Cracked sidewalk near park pls,non-urgent,infrastructure
Malaking usok sa likod ng simbahan naman,urgent,fire emergency
May butas sa kalsada pls,non-urgent,infrastructure
Sumisigaw ng tulong sa kanto naman,urgent,medical emergency
Broken road near bridge urgently,non-urgent,infrastructure
Fight reported at the gym urgently,urgent,fights
Sumisigaw ng tulong sa kanto.,urgent,medical emergency
"Sunog sa palengke, please respond please",urgent,fire emergency
May gulo sa barangay hall pls,urgent,fights
Sumisigaw ng tulong sa kanto!,urgent,medical emergency
Heart attack alert pls,urgent,medical emergency
Nagsisigawan sa kanto kaagad,non-urgent,noise
Ambulance required at city hall kaagad,urgent,medical emergency
Cracked sidewalk near park.,non-urgent,infrastructure
Flames visible near gasoline station.,urgent,fire emergency
Bad smell from uncollected garbage!,non-urgent,waste
Maruming paligid sa barangay.,non-urgent,waste
May party na sobrang ingay kaagad,non-urgent,noise
People fighting outside store now,urgent,fights
Nasusunog ang bahay sa barangay po,urgent,fire emergency
Heart attack alert kaagad,urgent,medical emergency
Maingay na motor sa kalsada please,non-urgent,noise
Overflowing trash bins urgently,non-urgent,waste
Two men fighting near school kaagad,urgent,fights
Heart attack alert po,urgent,medical emergency
May sunog sa tindahan.,urgent,fire emergency
Too much noise from karaoke please,non-urgent,noise
Karaoke noise disturbing residents kaagad,non-urgent,noise
Fight reported at the gym please,urgent,fights
May party na sobrang ingay naman,non-urgent,noise
Nasusunog ang bahay sa barangay urgently,urgent,fire emergency
Group of men arguing loudly!,urgent,fights
Fight reported at the gym!,urgent,fights
Fallen signboard on road agad,non-urgent,infrastructure
Burning smell in the neighborhood now,urgent,fire emergency
Nagsasagutan at nag-aaway sa plaza naman,urgent,fights
Two men fighting near school now,urgent,fights
Too much noise from karaoke kaagad,non-urgent,noise
Bridge railing damaged please,non-urgent,infrastructure
Uncollected waste near market!,non-urgent,waste
People fighting outside store.,urgent,fights
Basura sa harap ng bahay pls,non-urgent,waste
Road full of potholes agad,non-urgent,infrastructure
Garbage not collected for days pls,non-urgent,waste
May gulo sa barangay hall!,urgent,fights
Littering near playground please,non-urgent,waste
Maingay ang kapitbahay!,non-urgent,noise
Injury accident at intersection please,urgent,medical emergency
May sirang poste sa labas ng barangay pls,non-urgent,infrastructure
Bar fight ongoing.,urgent,fights
Fallen signboard on road.,non-urgent,infrastructure
Fire at apartment building pls,urgent,fire emergency
Nagsasagutan at nag-aaway sa plaza pls,urgent,fights
Lubak-lubak ang daan papuntang palengke now,non-urgent,infrastructure
Two men fighting near school please,urgent,fights
Karaoke noise disturbing residents.,non-urgent,noise
Streetlight not working urgently,non-urgent,infrastructure
Smoke seen from the warehouse agad,urgent,fire emergency
May sirang poste sa labas ng barangay urgently,non-urgent,infrastructure
Barking dogs all night please,non-urgent,noise
Need ambulance urgently agad,urgent,medical emergency
Bar fight ongoing!,urgent,fights
May nagsusuntukan sa kanto.,urgent,fights
Nasusunog ang bahay sa barangay kaagad,urgent,fire emergency
Uncollected waste near market urgently,non-urgent,waste
May sirang poste sa labas ng barangay agad,non-urgent,infrastructure
Sumisigaw ng tulong sa kanto po,urgent,medical emergency
Trash scattered after fiesta agad,non-urgent,waste
Burning smell in the neighborhood agad,urgent,fire emergency
Nagsisigawan sa kanto po,non-urgent,noise
Overflowing trash bins now,non-urgent,waste
Sira ang drainage sa gilid ng daan naman,non-urgent,infrastructure
Maingay na motor sa kalsada po,non-urgent,noise
May sugatang tao sa park urgently,urgent,medical emergency
Smoke seen from the warehouse naman,urgent,fire emergency
May nagsusuntukan sa kanto kaagad,urgent,fights
Need ambulance urgently.,urgent,medical emergency
May nahimatay sa kalsada please,urgent,medical emergency
Bar fight ongoing now,urgent,fights
Barking dogs all night now,non-urgent,noise
Flames visible near gasoline station!,urgent,fire emergency
Fire alarm activated at office now,urgent,fire emergency
Basura sa harap ng bahay now,non-urgent,waste
May party na sobrang ingay po,non-urgent,noise
Lubak-lubak ang daan papuntang palengke.,non-urgent,infrastructure
Sira ang drainage sa gilid ng daan urgently,non-urgent,infrastructure
May rambol sa eskinita.,urgent,fights
Loud music at night agad,non-urgent,noise
Nagsisigawan sa kanto please,non-urgent,noise
Burning smell in the neighborhood urgently,urgent,fire emergency
Fire alarm activated at office!,urgent,fire emergency
Maingay na motor sa kalsada naman,non-urgent,noise
May nahimatay sa kalsada kaagad,urgent,medical emergency
May apoy sa gilid ng kalsada!,urgent,fire emergency
Too much noise from karaoke agad,non-urgent,noise
Loud construction early morning now,non-urgent,noise
Nawalan ng malay sa school po,urgent,medical emergency
Cracked sidewalk near park!,non-urgent,infrastructure
Injury accident at intersection.,urgent,medical emergency
May nahimatay sa kalsada naman,urgent,medical emergency
Sumisigaw ng tulong sa kanto urgently,urgent,medical emergency
Karaoke noise disturbing residents naman,non-urgent,noise
Uncollected waste near market naman,non-urgent,waste
Littering near playground pls,non-urgent,waste
"Car accident, please send help.",urgent,medical emergency
Hindi pa kinukuha ang basura now,non-urgent,waste
Ambulance required at city hall please,urgent,medical emergency
May sirang poste sa labas ng barangay now,non-urgent,infrastructure
Fallen signboard on road po,non-urgent,infrastructure
May nahimatay sa kalsada pls,urgent,medical emergency
Fire at apartment building po,urgent,fire emergency
Overflowing trash bins kaagad,non-urgent,waste
May sugatang tao sa park please,urgent,medical emergency
May sunog sa tindahan po,urgent,fire emergency
Malaking usok sa likod ng simbahan.,urgent,fire emergency
Flames visible near gasoline station pls,urgent,fire emergency
Loud music at night urgently,non-urgent,noise
Two men fighting near school naman,urgent,fights
Sira ang drainage sa gilid ng daan.,non-urgent,infrastructure
People fighting outside store urgently,urgent,fights
Littering near playground kaagad,non-urgent,waste
May apoy sa gilid ng kalsada urgently,urgent,fire emergency
Maingay na motor sa kalsada!,non-urgent,noise
May party na sobrang ingay pls,non-urgent,noise
Basura nakakalat sa kanto pls,non-urgent,waste
May butas sa kalsada!,non-urgent,infrastructure
Hindi pa kinukuha ang basura!,non-urgent,waste
Basura sa harap ng bahay please,non-urgent,waste
May party na sobrang ingay urgently,non-urgent,noise
Lubak-lubak ang daan papuntang palengke po,non-urgent,infrastructure
Overflowing trash bins po,non-urgent,waste
People fighting outside store please,urgent,fights
Overflowing trash bins agad,non-urgent,waste
Fire alarm activated at office.,urgent,fire emergency
Fire at apartment building now,urgent,fire emergency
Garbage not collected for days.,non-urgent,waste
Violent altercation on street kaagad,urgent,fights
May gulo sa barangay hall urgently,urgent,fights
Ambulance required at city hall now,urgent,medical emergency
"Car accident, please send help naman",urgent,medical emergency
May apoy sa gilid ng kalsada pls,urgent,fire emergency
May apoy sa gilid ng kalsada agad,urgent,fire emergency
Two men fighting near school po,urgent,fights
Nawalan ng malay sa school pls,urgent,medical emergency
Bar fight ongoing urgently,urgent,fights
Nasusunog ang bahay sa barangay.,urgent,fire emergency
Malaking usok sa likod ng simbahan kaagad,urgent,fire emergency
Violent altercation on street naman,urgent,fights
Malaking usok sa likod ng simbahan po,urgent,fire emergency
Smoke seen from the warehouse po,urgent,fire emergency
May butas sa kalsada urgently,non-urgent,infrastructure
Too much noise from karaoke po,non-urgent,noise
Injury accident at intersection now,urgent,medical emergency
Hindi pa kinukuha ang basura urgently,non-urgent,waste
Bad smell from uncollected garbage now,non-urgent,waste
Two men fighting near school!,urgent,fights
Sumisigaw ng tulong sa kanto now,urgent,medical emergency
Streetlight not working po,non-urgent,infrastructure
Bridge railing damaged now,non-urgent,infrastructure
Streetlight not working.,non-urgent,infrastructure
Uncollected waste near market kaagad,non-urgent,waste
Too much noise from karaoke pls,non-urgent,noise
Person bleeding heavily naman,urgent,medical emergency
Bridge railing damaged agad,non-urgent,infrastructure
Lubak-lubak ang daan papuntang palengke!,non-urgent,infrastructure
Sira ang drainage sa gilid ng daan agad,non-urgent,infrastructure
May sunog sa tindahan naman,urgent,fire emergency
May rambol sa eskinita now,urgent,fights
Trash scattered after fiesta pls,non-urgent,waste
Bar fight ongoing kaagad,urgent,fights
Basura nakakalat sa kanto naman,non-urgent,waste
Two men fighting near school agad,urgent,fights
Smoke seen from the warehouse.,urgent,fire emergency
Maingay ang kapitbahay kaagad,non-urgent,noise
Road full of potholes kaagad,non-urgent,infrastructure
"Car accident, please send help po",urgent,medical emergency
Overflowing trash bins!,non-urgent,waste
Maingay na motor sa kalsada now,non-urgent,noise
May party na sobrang ingay.,non-urgent,noise
May gulo sa barangay hall please,urgent,fights
Broken road near bridge please,non-urgent,infrastructure
Malaking usok sa likod ng simbahan urgently,urgent,fire emergency
Violent altercation on street.,urgent,fights
May sirang poste sa labas ng barangay kaagad,non-urgent,infrastructure
May nagsusuntukan sa kanto agad,urgent,fights
May sunog sa tindahan now,urgent,fire emergency
Maingay na motor sa kalsada pls,non-urgent,noise
May party na sobrang ingay now,non-urgent,noise
Uncollected waste near market now,non-urgent,waste
Uncollected waste near market pls,non-urgent,waste
Bar fight ongoing naman,urgent,fights
Basura nakakalat sa kanto urgently,non-urgent,waste
Sumisigaw ng tulong sa kanto pls,urgent,medical emergency
Group of men arguing loudly pls,urgent,fights
Loud music at night.,non-urgent,noise
Injury accident at intersection kaagad,urgent,medical emergency
Fallen signboard on road please,non-urgent,infrastructure
Uncollected waste near market po,non-urgent,waste
Fallen signboard on road now,non-urgent,infrastructure
Karaoke noise disturbing residents please,non-urgent,noise
Road full of potholes!,non-urgent,infrastructure
Fight reported at the gym pls,urgent,fights
Nasusunog ang bahay sa barangay now,urgent,fire emergency
"Sunog sa palengke, please respond agad",urgent,fire emergency
Ambulance required at city hall agad,urgent,medical emergency
Littering near playground agad,non-urgent,waste
Karaoke noise disturbing residents po,non-urgent,noise
Uncollected waste near market agad,non-urgent,waste
Two men fighting near school.,urgent,fights
Smoke seen from the warehouse urgently,urgent,fire emergency
Bar fight ongoing pls,urgent,fights
May gulo sa barangay hall po,urgent,fights
May nagsusuntukan sa kanto naman,urgent,fights
Basura sa harap ng bahay.,non-urgent,waste
May sirang poste sa labas ng barangay po,non-urgent,infrastructure
Ambulance required at city hall.,urgent,medical emergency
Basura nakakalat sa kanto agad,non-urgent,waste
Bridge railing damaged pls,non-urgent,infrastructure
Bad smell from uncollected garbage urgently,non-urgent,waste
Basura sa harap ng bahay po,non-urgent,waste
May sunog sa tindahan please,urgent,fire emergency
May rambol sa eskinita po,urgent,fights
People fighting outside store po,urgent,fights
Nawalan ng malay sa school naman,urgent,medical emergency
Fallen signboard on road pls,non-urgent,infrastructure
Nagsasagutan at nag-aaway sa plaza now,urgent,fights
Uncollected waste near market.,non-urgent,waste
Maingay ang kapitbahay pls,non-urgent,noise
Bad smell from uncollected garbage po,non-urgent,waste
Burning smell in the neighborhood please,urgent,fire emergency
Fight reported at the gym kaagad,urgent,fights
Hindi pa kinukuha ang basura.,non-urgent,waste
Garbage not collected for days agad,non-urgent,waste
Need ambulance urgently please,urgent,medical emergency
Smoke seen from the warehouse please,urgent,fire emergency
Sira ang drainage sa gilid ng daan please,non-urgent,infrastructure
May apoy sa gilid ng kalsada please,urgent,fire emergency
Flames visible near gasoline station po,urgent,fire emergency
Basura nakakalat sa kanto kaagad,non-urgent,waste
Violent altercation on street now,urgent,fights
Group of men arguing loudly now,urgent,fights
Nagsasagutan at nag-aaway sa plaza po,urgent,fights
Malaking usok sa likod ng simbahan agad,urgent,fire emergency
Barking dogs all night pls,non-urgent,noise
"Car accident, please send help agad",urgent,medical emergency
Trash scattered after fiesta po,non-urgent,waste
Broken road near bridge!,non-urgent,infrastructure
May nahimatay sa kalsada now,urgent,medical emergency
Bridge railing damaged!,non-urgent,infrastructure
May butas sa kalsada naman,non-urgent,infrastructure
Too much noise from karaoke urgently,non-urgent,noise
May butas sa kalsada po,non-urgent,infrastructure
Ambulance required at city hall pls,urgent,medical emergency
Road full of potholes urgently,non-urgent,infrastructure
Road full of potholes now,non-urgent,infrastructure
Maruming paligid sa barangay!,non-urgent,waste
Lubak-lubak ang daan papuntang palengke kaagad,non-urgent,infrastructure
May sugatang tao sa park naman,urgent,medical emergency
Karaoke noise disturbing residents urgently,non-urgent,noise
May gulo sa barangay hall.,urgent,fights
Karaoke noise disturbing residents pls,non-urgent,noise
Karaoke noise disturbing residents!,non-urgent,noise
Fire at apartment building kaagad,urgent,fire emergency
Bridge railing damaged naman,non-urgent,infrastructure
Nagsisigawan sa kanto pls,non-urgent,noise
Violent altercation on street!,urgent,fights
Bad smell from uncollected garbage agad,non-urgent,waste
May sunog sa tindahan pls,urgent,fire emergency
Garbage not collected for days naman,non-urgent,waste
Cracked sidewalk near park kaagad,non-urgent,infrastructure
Nawalan ng malay sa school urgently,urgent,medical emergency
May sugatang tao sa park kaagad,urgent,medical emergency
May sugatang tao sa park.,urgent,medical emergency
Maingay na motor sa kalsada.,non-urgent,noise
Nagsasagutan at nag-aaway sa plaza.,urgent,fights
Maruming paligid sa barangay now,non-urgent,waste
Road full of potholes naman,non-urgent,infrastructure
Need ambulance urgently kaagad,urgent,medical emergency
May rambol sa eskinita urgently,urgent,fights
Littering near playground urgently,non-urgent,waste
Too much noise from karaoke naman,non-urgent,noise
Nawalan ng malay sa school!,urgent,medical emergency
Nawalan ng malay sa school please,urgent,medical emergency
Loud music at night kaagad,non-urgent,noise
"Child is unconscious in the market, send medical team",Urgent,Medical Emergency
Emergency! Someone is not breathing at the waiting shed,Urgent,Medical Emergency
Person is bleeding heavily after an accident at the street corner,Urgent,Medical Emergency
Person is bleeding heavily after an accident at the barangay hall,Urgent,Medical Emergency
"Child is unconscious in the basketball court, send medical team",Urgent,Medical Emergency
"Someone fainted at the basketball court, please send an ambulance",Urgent,Medical Emergency
"Someone fainted at the market, please send an ambulance",Urgent,Medical Emergency
"A person collapsed near the street corner, urgent medical help needed",Urgent,Medical Emergency
"Medical emergency at the factory, immediate response required",Urgent,Medical Emergency
"Accident at the church, multiple people injured, ambulance required",Urgent,Medical Emergency
"Medical emergency at the school, immediate response required",Urgent,Medical Emergency
"Accident at the basketball court, multiple people injured, ambulance required",Urgent,Medical Emergency
"Child is unconscious in the factory, send medical team",Urgent,Medical Emergency
"An old man fainted inside the playground, please send medical help",Urgent,Medical Emergency
"Someone fainted at the residential area, please send an ambulance",Urgent,Medical Emergency
"Please dispatch an ambulance, someone is having seizures at the main road",Urgent,Medical Emergency
"An old man fainted inside the waiting shed, please send medical help",Urgent,Medical Emergency
"Child is unconscious in the barangay hall, send medical team",Urgent,Medical Emergency
Emergency! Someone is not breathing at the apartment,Urgent,Medical Emergency
Emergency! Someone is not breathing at the street corner,Urgent,Medical Emergency
"My neighbor has chest pain, urgent ambulance needed at the barangay hall",Urgent,Medical Emergency
Person is bleeding heavily after an accident at the factory,Urgent,Medical Emergency
"Accident at the apartment, multiple people injured, ambulance required",Urgent,Medical Emergency
"Accident at the barangay hall, multiple people injured, ambulance required",Urgent,Medical Emergency
Person is bleeding heavily after an accident at the market,Urgent,Medical Emergency
"Someone fainted at the church, please send an ambulance",Urgent,Medical Emergency
"A person collapsed near the plaza, urgent medical help needed",Urgent,Medical Emergency
"Please dispatch an ambulance, someone is having seizures at the basketball court",Urgent,Medical Emergency
"Someone fainted at the barangay hall, please send an ambulance",Urgent,Medical Emergency
"Accident at the playground, multiple people injured, ambulance required",Urgent,Medical Emergency
"My neighbor has chest pain, urgent ambulance needed at the apartment",Urgent,Medical Emergency
"A person collapsed near the church, urgent medical help needed",Urgent,Medical Emergency
