message,label,type
Loud music at night,non-urgent,noise
Bar fight ongoing,urgent,fights
Heart attack alert please,urgent,medical emergency
Basura sa harap ng bahay,non-urgent,waste
Fire alarm activated at office,urgent,fire emergency
Maruming paligid sa barangay,non-urgent,waste
May nahimatay sa kalsada po,urgent,medical emergency
Person bleeding heavily agad,urgent,medical emergency
May rambol sa eskinita,urgent,fights
Uncollected waste near market,non-urgent,waste
Maingay ang kapitbahay naman,non-urgent,noise
Nagsisigawan sa kanto,non-urgent,noise
May sunog sa tindahan,urgent,fire emergency
Person bleeding heavily,urgent,medical emergency
Nagsasagutan at nag-aaway sa plaza,urgent,fights
Cracked sidewalk near park,non-urgent,infrastructure
Sira ang drainage sa gilid ng daan,non-urgent,infrastructure
Maingay ang kapitbahay,non-urgent,noise
Fight reported at the gym agad,urgent,fights
Fight reported at the gym po,urgent,fights
Road full of potholes please,non-urgent,infrastructure
Road full of potholes po,non-urgent,infrastructure
Fire at apartment building,urgent,fire emergency
Basura nakakalat sa kanto po,non-urgent,waste
Cracked sidewalk near park,non-urgent,infrastructure
Flames visible near gasoline station,urgent,fire emergency
Maingay na motor sa kalsada kaagad,non-urgent,noise
May gulo sa barangay hall,urgent,fights
May sunog sa tindahan agad,urgent,fire emergency
Basura sa harap ng bahay,non-urgent,waste
Violent altercation on street please,urgent,fights
Person bleeding heavily,urgent,medical emergency
Cracked sidewalk near park naman,non-urgent,infrastructure
Lubak-lubak ang daan papuntang palengke pls,non-urgent,infrastructure
Group of men arguing loudly kaagad,urgent,fights
Littering near playground,non-urgent,waste
Sira ang drainage sa gilid ng daan,non-urgent,infrastructure
Violent altercation on street pls,urgent,fights
Karaoke noise disturbing residents,non-urgent,noise
Bad smell from uncollected garbage please,non-urgent,waste
May apoy sa gilid ng kalsada naman,urgent,fire emergency
May butas sa kalsada,non-urgent,infrastructure
Loud vehicles passing midnight now,non-urgent,noise
Lubak-lubak ang daan papuntang palengke urgently,non-urgent,infrastructure
Heart attack alert,urgent,medical emergency
"Car accident, please send help",urgent,medical emergency
Malaking usok sa likod ng simbahan now,urgent,fire emergency
Cracked sidewalk near park agad,non-urgent,infrastructure
May nagsusuntukan sa kanto!,urgent,fights
Trash scattered after fiesta,non-urgent,waste
Smoke seen from the warehouse pls,urgent,fire emergency
Nawalan ng malay sa school,urgent,medical emergency
Cracked sidewalk near park urgently,non-urgent,infrastructure
May sunog sa tindahan urgently,urgent,fire emergency
Overflowing trash bins naman,non-urgent,waste
Maruming paligid sa barangay agad,non-urgent,waste
Garbage not collected for days,non-urgent,waste
Nagsasagutan at nag-aaway sa plaza,urgent,fights
Loud music at night,non-urgent,noise
Group of men arguing loudly,urgent,fights
Basura sa harap ng bahay,non-urgent,waste
"Sunog sa palengke, please respond",urgent,fire emergency
Cracked sidewalk near park urgently,non-urgent,infrastructure
"Sunog sa palengke, please respond.",urgent,fire emergency
"Sunog sa palengke, please respond.",urgent,fire emergency
Loud vehicles passing midnight,non-urgent,noise
May sirang poste sa labas ng barangay!,non-urgent,infrastructure
Basura nakakalat sa kanto,non-urgent,waste
Bar fight ongoing agad,urgent,fights
Maingay ang kapitbahay agad,non-urgent,noise
Garbage not collected for days,non-urgent,waste
Hindi pa kinukuha ang basura please,non-urgent,waste
Nagsasagutan at nag-aaway sa plaza,urgent,fights
May apoy sa gilid ng kalsada,urgent,fire emergency
Group of men arguing loudly.,urgent,fights
Violent altercation on street,urgent,fights
Nagsasagutan at nag-aaway sa plaza please,urgent,fights
Bar fight ongoing,urgent,fights
Bridge railing damaged kaagad,non-urgent,infrastructure
Injury accident at intersection!,urgent,medical emergency
Barking dogs all night kaagad,non-urgent,noise
Loud music at night,non-urgent,noise
Nawalan ng malay sa school,urgent,medical emergency
Person bleeding heavily urgently,urgent,medical emergency
Loud vehicles passing midnight,non-urgent,noise
Broken road near bridge,non-urgent,infrastructure
Lubak-lubak ang daan papuntang palengke agad,non-urgent,infrastructure
Bar fight ongoing po,urgent,fights
May nagsusuntukan sa kanto urgently,urgent,fights
Broken road near bridge now,non-urgent,infrastructure
Fire at apartment building,urgent,fire emergency
May nagsusuntukan sa kanto pls,urgent,fights
May sunog sa tindahan,urgent,fire emergency
Loud construction early morning urgently,non-urgent,noise
Sira ang drainage sa gilid ng daan,non-urgent,infrastructure
May party na sobrang ingay,non-urgent,noise
May nahimatay sa kalsada,urgent,medical emergency
Maingay ang kapitbahay now,non-urgent,noise
Nawalan ng malay sa school,urgent,medical emergency
Need ambulance urgently now,urgent,medical emergency
Person bleeding heavily urgently,urgent,medical emergency
May apoy sa gilid ng kalsada,urgent,fire emergency
Uncollected waste near market,non-urgent,waste
May rambol sa eskinita agad,urgent,fights
Bar fight ongoing po,urgent,fights
Broken road near bridge kaagad,non-urgent,infrastructure
May party na sobrang ingay,non-urgent,noise
Fight reported at the gym po,urgent,fights
Heart attack alert,urgent,medical emergency
May sirang poste sa labas ng barangay naman,non-urgent,infrastructure
Maruming paligid sa barangay,non-urgent,waste
Fire alarm activated at office urgently,urgent,fire emergency
Fallen signboard on road naman,non-urgent,infrastructure
Flames visible near gasoline station,urgent,fire emergency
People fighting outside store,urgent,fights
Basura sa harap ng bahay,non-urgent,waste
Streetlight not working,non-urgent,infrastructure
"Sunog sa palengke, please respond pls",urgent,fire emergency
Hindi pa kinukuha ang basura,non-urgent,waste
Sira ang drainage sa gilid ng daan pls,non-urgent,infrastructure
Fire at apartment building,urgent,fire emergency
Heart attack alert naman,urgent,medical emergency
Sira ang drainage sa gilid ng daan po,non-urgent,infrastructure
"Sunog sa palengke, please respond naman",urgent,fire emergency
Sira ang drainage sa gilid ng daan,non-urgent,infrastructure
Road full of potholes,non-urgent,infrastructure
Ambulance required at city hall,urgent,medical emergency
Loud vehicles passing midnight,non-urgent,noise
Road full of potholes pls,non-urgent,infrastructure
Maruming paligid sa barangay po,non-urgent,waste
Nasusunog ang bahay sa barangay,urgent,fire emergency
Maingay na motor sa kalsada urgently,non-urgent,noise
Group of men arguing loudly naman,urgent,fights
Trash scattered after fiesta urgently,non-urgent,waste
May apoy sa gilid ng kalsada,urgent,fire emergency
Violent altercation on street,urgent,fights
Garbage not collected for days,non-urgent,waste
Basura nakakalat sa kanto,non-urgent,waste
May nagsusuntukan sa kanto now,urgent,fights
Violent altercation on street,urgent,fights
May sugatang tao sa park,urgent,medical emergency
Nagsasagutan at nag-aaway sa plaza!,urgent,fights
Streetlight not working pls,non-urgent,infrastructure
May gulo sa barangay hall now,urgent,fights
May sunog sa tindahan,urgent,fire emergency
Flames visible near gasoline station now,urgent,fire emergency
Ambulance required at city hall,urgent,medical emergency
Littering near playground now,non-urgent,waste
Sumisigaw ng tulong sa kanto please,urgent,medical emergency
Fallen signboard on road,non-urgent,infrastructure
Nawalan ng malay sa school,urgent,medical emergency
Maruming paligid sa barangay please,non-urgent,waste
Smoke seen from the warehouse,urgent,fire emergency
Nagsisigawan sa kanto,non-urgent,noise
Loud vehicles passing midnight kaagad,non-urgent,noise
Person bleeding heavily po,urgent,medical emergency
May nahimatay sa kalsada agad,urgent,medical emergency
Hindi pa kinukuha ang basura,non-urgent,waste
May party na sobrang ingay,non-urgent,noise
Group of men arguing loudly,urgent,fights
Fallen signboard on road,non-urgent,infrastructure
Need ambulance urgently,urgent,medical emergency
May butas sa kalsada now,non-urgent,infrastructure
Streetlight not working,non-urgent,infrastructure
Basura sa harap ng bahay,non-urgent,waste
Injury accident at intersection po,urgent,medical emergency
Littering near playground po,non-urgent,waste
May apoy sa gilid ng kalsada.,urgent,fire emergency
May rambol sa eskinita,urgent,fights
May party na sobrang ingay agad,non-urgent,noise
"Car accident, please send help please",urgent,medical emergency
Trash scattered after fiesta kaagad,non-urgent,waste
Trash scattered after fiesta,non-urgent,waste
Malaking usok sa likod ng simbahan,urgent,fire emergency
Littering near playground,non-urgent,waste
Cracked sidewalk near park,non-urgent,infrastructure
Fire alarm activated at office please,urgent,fire emergency
Barking dogs all night,non-urgent,noise
Loud music at night,non-urgent,noise
Injury accident at intersection,urgent,medical emergency
Bar fight ongoing,urgent,fights
Malaking usok sa likod ng simbahan,urgent,fire emergency
Burning smell in the neighborhood po,urgent,fire emergency
Sumisigaw ng tulong sa kanto,urgent,medical emergency
Broken road near bridge naman,non-urgent,infrastructure
Nawalan ng malay sa school,urgent,medical emergency
Maruming paligid sa barangay pls,non-urgent,waste
Smoke seen from the warehouse,urgent,fire emergency
Sira ang drainage sa gilid ng daan,non-urgent,infrastructure
May sunog sa tindahan,urgent,fire emergency
Smoke seen from the warehouse now,urgent,fire emergency
Barking dogs all night urgently,non-urgent,noise
Nagsasagutan at nag-aaway sa plaza kaagad,urgent,fights
Sira ang drainage sa gilid ng daan now,non-urgent,infrastructure
Cracked sidewalk near park,non-urgent,infrastructure
Smoke seen from the warehouse,urgent,fire emergency
Need ambulance urgently,urgent,medical emergency
May sirang poste sa labas ng barangay please,non-urgent,infrastructure
Trash scattered after fiesta,non-urgent,waste
Ambulance required at city hall po,urgent,medical emergency
Trash scattered after fiesta,non-urgent,waste
Need ambulance urgently,urgent,medical emergency
Person bleeding heavily please,urgent,medical emergency
Loud construction early morning po,non-urgent,noise
Karaoke noise disturbing residents,non-urgent,noise
Fight reported at the gym,urgent,fights
Nasusunog ang bahay sa barangay,urgent,fire emergency
Bar fight ongoing,urgent,fights
Violent altercation on street,urgent,fights
May sirang poste sa labas ng barangay,non-urgent,infrastructure
May rambol sa eskinita pls,urgent,fights
Malaking usok sa likod ng simbahan please,urgent,fire emergency
Overflowing trash bins,non-urgent,waste
Violent altercation on street po,urgent,fights
Nawalan ng malay sa school,urgent,medical emergency
Streetlight not working agad,non-urgent,infrastructure
Trash scattered after fiesta.,non-urgent,waste
Flames visible near gasoline station,urgent,fire emergency
Broken road near bridge po,non-urgent,infrastructure
Bad smell from uncollected garbage kaagad,non-urgent,waste
Maingay ang kapitbahay agad,non-urgent,noise
Two men fighting near school,urgent,fights
May gulo sa barangay hall,urgent,fights
Barking dogs all night,non-urgent,noise
Maingay ang kapitbahay.,non-urgent,noise
Too much noise from karaoke,non-urgent,noise
Loud vehicles passing midnight,non-urgent,noise
Maingay ang kapitbahay,non-urgent,noise
Heart attack alert,urgent,medical emergency
May sugatang tao sa park po,urgent,medical emergency
Littering near playground,non-urgent,waste
Maingay ang kapitbahay.,non-urgent,noise
Person bleeding heavily kaagad,urgent,medical emergency
Need ambulance urgently,urgent,medical emergency
Uncollected waste near market,non-urgent,waste
Sira ang drainage sa gilid ng daan pls,non-urgent,infrastructure
Fire alarm activated at office,urgent,fire emergency
Sumisigaw ng tulong sa kanto please,urgent,medical emergency
Nagsisigawan sa kanto,non-urgent,noise
Nagsisigawan sa kanto,non-urgent,noise
Lubak-lubak ang daan papuntang palengke urgently,non-urgent,infrastructure
"Sunog sa palengke, please respond now",urgent,fire emergency
Heart attack alert,urgent,medical emergency
Flames visible near gasoline station naman,urgent,fire emergency
Violent altercation on street,urgent,fights
Fire at apartment building,urgent,fire emergency
Sira ang drainage sa gilid ng daan kaagad,non-urgent,infrastructure
Maruming paligid sa barangay kaagad,non-urgent,waste
Fire at apartment building,urgent,fire emergency
May gulo sa barangay hall kaagad,urgent,fights
Bridge railing damaged,non-urgent,infrastructure
Sira ang drainage sa gilid ng daan!,non-urgent,infrastructure
Need ambulance urgently,urgent,medical emergency
Basura nakakalat sa kanto.,non-urgent,waste
Fire alarm activated at office urgently,urgent,fire emergency
Fire alarm activated at office,urgent,fire emergency
Road full of potholes,non-urgent,infrastructure
"Car accident, please send help urgently",urgent,medical emergency
Road full of potholes.,non-urgent,infrastructure
May nagsusuntukan sa kanto urgently,urgent,fights
Nagsasagutan at nag-aaway sa plaza,urgent,fights
Smoke seen from the warehouse,urgent,fire emergency
Loud vehicles passing midnight po,non-urgent,noise
Karaoke noise disturbing residents,non-urgent,noise
May butas sa kalsada,non-urgent,infrastructure
Maingay na motor sa kalsada,non-urgent,noise
Need ambulance urgently po,urgent,medical emergency
Loud music at night!,non-urgent,noise
Burning smell in the neighborhood,urgent,fire emergency
Nagsasagutan at nag-aaway sa plaza!,urgent,fights
Cracked sidewalk near park,non-urgent,infrastructure
Injury accident at intersection,urgent,medical emergency
Garbage not collected for days po,non-urgent,waste
Flames visible near gasoline station,urgent,fire emergency
May rambol sa eskinita!,urgent,fights
Karaoke noise disturbing residents,non-urgent,noise
May rambol sa eskinita kaagad,urgent,fights
Heart attack alert.,urgent,medical emergency
Fire alarm activated at office please,urgent,fire emergency
Burning smell in the neighborhood po,urgent,fire emergency
Malaking usok sa likod ng simbahan please,urgent,fire emergency
Nasusunog ang bahay sa barangay,urgent,fire emergency
Broken road near bridge,non-urgent,infrastructure
Barking dogs all night,non-urgent,noise
Ambulance required at city hall naman,urgent,medical emergency
May apoy sa gilid ng kalsada,urgent,fire emergency
Basura nakakalat sa kanto po,non-urgent,waste
Nasusunog ang bahay sa barangay!,urgent,fire emergency
"Car accident, please send help",urgent,medical emergency
Fire alarm activated at office,urgent,fire emergency
May apoy sa gilid ng kalsada,urgent,fire emergency
Sumisigaw ng tulong sa kanto,urgent,medical emergency
Fire at apartment building,urgent,fire emergency
Violent altercation on street pls,urgent,fights
Two men fighting near school pls,urgent,fights
Maruming paligid sa barangay naman,non-urgent,waste
Need ambulance urgently po,urgent,medical emergency
May nahimatay sa kalsada,urgent,medical emergency
Loud vehicles passing midnight kaagad,non-urgent,noise
Too much noise from karaoke!,non-urgent,noise
Broken road near bridge,non-urgent,infrastructure
Bridge railing damaged,non-urgent,infrastructure
Loud vehicles passing midnight agad,non-urgent,noise
Basura nakakalat sa kanto now,non-urgent,waste
Fire alarm activated at office po,urgent,fire emergency
Barking dogs all night agad,non-urgent,noise
Malaking usok sa likod ng simbahan!,urgent,fire emergency
Hindi pa kinukuha ang basura naman,non-urgent,waste
Overflowing trash bins,non-urgent,waste
Loud vehicles passing midnight,non-urgent,noise
Basura nakakalat sa kanto now,non-urgent,waste
Loud construction early morning please,non-urgent,noise
People fighting outside store kaagad,urgent,fights
May rambol sa eskinita,urgent,fights
May gulo sa barangay hall naman,urgent,fights
Broken road near bridge,non-urgent,infrastructure
May sirang poste sa labas ng barangay,non-urgent,infrastructure
People fighting outside store agad,urgent,fights
Maingay na motor sa kalsada,non-urgent,noise
Too much noise from karaoke,non-urgent,noise
Violent altercation on street,urgent,fights
May apoy sa gilid ng kalsada naman,urgent,fire emergency
Cracked sidewalk near park,non-urgent,infrastructure
May sirang poste sa labas ng barangay,non-urgent,infrastructure
Flames visible near gasoline station please,urgent,fire emergency
Nagsisigawan sa kanto now,non-urgent,noise
Lubak-lubak ang daan papuntang palengke,non-urgent,infrastructure
Loud vehicles passing midnight.,non-urgent,noise
Basura sa harap ng bahay naman,non-urgent,waste
People fighting outside store,urgent,fights
May gulo sa barangay hall,urgent,fights
Need ambulance urgently,urgent,medical emergency
Maruming paligid sa barangay,non-urgent,waste
Cracked sidewalk near park pls,non-urgent,infrastructure
Nagsisigawan sa kanto,non-urgent,noise
Bar fight ongoing,urgent,fights
Bridge railing damaged,non-urgent,infrastructure
Person bleeding heavily,urgent,medical emergency
Malaking usok sa likod ng simbahan naman,urgent,fire emergency
Karaoke noise disturbing residents,non-urgent,noise
May nahimatay sa kalsada agad,urgent,medical emergency
May party na sobrang ingay!,non-urgent,noise
Overflowing trash bins naman,non-urgent,waste
Bad smell from uncollected garbage,non-urgent,waste
Injury accident at intersection,urgent,medical emergency
May butas sa kalsada pls,non-urgent,infrastructure
Sumisigaw ng tulong sa kanto naman,urgent,medical emergency
Broken road near bridge urgently,non-urgent,infrastructure
Heart attack alert,urgent,medical emergency
Fight reported at the gym urgently,urgent,fights
Sumisigaw ng tulong sa kanto.,urgent,medical emergency
"Sunog sa palengke, please respond please",urgent,fire emergency
May gulo sa barangay hall pls,urgent,fights
Nasusunog ang bahay sa barangay,urgent,fire emergency
Sumisigaw ng tulong sa kanto!,urgent,medical emergency
Heart attack alert pls,urgent,medical emergency
Fallen signboard on road,non-urgent,infrastructure
Fight reported at the gym,urgent,fights
Two men fighting near school pls,urgent,fights
Loud construction early morning,non-urgent,noise
"Sunog sa palengke, please respond",urgent,fire emergency
Person bleeding heavily,urgent,medical emergency
Two men fighting near school,urgent,fights
Injury accident at intersection,urgent,medical emergency
Flames visible near gasoline station now,urgent,fire emergency
Sira ang drainage sa gilid ng daan,non-urgent,infrastructure
Nagsisigawan sa kanto kaagad,non-urgent,noise
Ambulance required at city hall kaagad,urgent,medical emergency
Cracked sidewalk near park.,non-urgent,infrastructure
Fallen signboard on road naman,non-urgent,infrastructure
Flames visible near gasoline station.,urgent,fire emergency
Bad smell from uncollected garbage!,non-urgent,waste
Maruming paligid sa barangay.,non-urgent,waste
Lubak-lubak ang daan papuntang palengke naman,non-urgent,infrastructure
May party na sobrang ingay kaagad,non-urgent,noise
People fighting outside store now,urgent,fights
Sira ang drainage sa gilid ng daan,non-urgent,infrastructure
Karaoke noise disturbing residents,non-urgent,noise
Nasusunog ang bahay sa barangay po,urgent,fire emergency
Loud construction early morning!,non-urgent,noise
Two men fighting near school,urgent,fights
Sumisigaw ng tulong sa kanto,urgent,medical emergency
Heart attack alert kaagad,urgent,medical emergency
Bad smell from uncollected garbage pls,non-urgent,waste
Maingay na motor sa kalsada please,non-urgent,noise
Littering near playground,non-urgent,waste
Overflowing trash bins,non-urgent,waste
Loud vehicles passing midnight urgently,non-urgent,noise
Violent altercation on street,urgent,fights
Need ambulance urgently,urgent,medical emergency
Too much noise from karaoke,non-urgent,noise
Overflowing trash bins urgently,non-urgent,waste
Two men fighting near school kaagad,urgent,fights
"Sunog sa palengke, please respond",urgent,fire emergency
Heart attack alert po,urgent,medical emergency
"Sunog sa palengke, please respond now",urgent,fire emergency
Loud vehicles passing midnight,non-urgent,noise
"Sunog sa palengke, please respond",urgent,fire emergency
May gulo sa barangay hall naman,urgent,fights
May sunog sa tindahan.,urgent,fire emergency
Person bleeding heavily urgently,urgent,medical emergency
Barking dogs all night agad,non-urgent,noise
Too much noise from karaoke please,non-urgent,noise
Karaoke noise disturbing residents kaagad,non-urgent,noise
Fight reported at the gym please,urgent,fights
